path,size_bytes,refs,sample,candidate
public/images/blog/defensa-sar-choluteca.webp,76748,2,.backups/fase6d-pre-restore-wrong-articles.json | .backups/fase6-lote-9-backup.json,used
public/images/blog/lavado-activos-obligaciones-cumplimiento-empresas-honduras.webp,36360,1,.backups/fase6-lote-9-backup.json,used
public/images/blog/despido-laboral-honduras-guia-completa.webp,62792,1,.backups/fase6d-lote-14-backup.json,used
public/images/blog/banco-demanda-deuda-defensa-opciones-honduras.webp,42434,2,.backups/fase6d-lote-12-backup.json | docs/audits/fase7/lote-A/banco-demanda-deuda-defensa-opciones-honduras/tecnico-schema.json,used
public/images/blog/tributar-espana-bienes-honduras-guia-fiscal.webp,34666,1,.backups/fase6-lote-9-backup.json,used
public/images/blog/errores-contratos-civiles-honduras.webp,40144,1,.backups/fase6-lote-10-backup.json,used
public/images/blog/abogado-laboral-choluteca.webp,62792,0,,unreferenced
public/images/blog/recurso-de-amparo-honduras-guia-completa.webp,68852,1,.backups/fase6d-lote-14-backup.json,used
public/images/blog/riesgos-profesionales-accidentes-laborales-honduras.webp,65888,1,.backups/fase6-lote-6-backup.json,used
public/images/blog/importar-mercancias-guia-legal-aduanera-honduras.webp,133332,2,.backups/fase6d-lote-12-backup.json | lib/blog-helpers.ts,used
public/images/blog/pension-alimenticia-honduras-como-solicitarla.webp,42796,1,.backups/fase6-lote-7-backup.json,used
public/images/blog/tipos-sociedad-mercantil-honduras.webp,86944,1,.backups/fase6-lote-9-backup.json,used
public/images/blog/proteccion-marcas-competencia-desleal-honduras.webp,38680,1,.backups/fase6-lote-5-backup.json,used
public/images/blog/sanciones-administrativas-como-defenderse-honduras.webp,90398,2,.backups/fase6-lote-11-backup.json | lib/blog-helpers.ts,used
public/images/blog/violencia-intrafamiliar-denuncia-proteccion-honduras.webp,55000,1,.backups/fase6-lote-9-backup.json,used
public/images/blog/contratos-empleadas-domesticas-obligaciones-honduras.webp,50514,1,scripts/target_posts.json,used
public/images/blog/zonas-libres-zoli-beneficios-fiscales-honduras.webp,281938,0,,unreferenced
public/images/blog/jorono-international-2693200.webp,120434,0,,unreferenced
public/images/blog/demanda-laboral-choluteca.webp,49052,2,.backups/fase6-lote-10-backup.json | .backups/fase6d-pre-restore-wrong-articles.json,used
public/images/blog/residencia-temporal-requisitos-plazos-honduras.webp,31948,1,.backups/fase6d-lote-12-backup.json,used
public/images/escudos/san-marcos-de-colon.svg,870,1,data/escudos-ciudades.ts,used
public/images/escudos/pespire.svg,867,1,data/escudos-ciudades.ts,used
public/images/escudos/namasigue.svg,869,1,data/escudos-ciudades.ts,used
public/images/escudos/choluteca.svg,869,1,data/escudos-ciudades.ts,used
public/images/escudos/orocuina.svg,868,1,data/escudos-ciudades.ts,used
public/images/escudos/nacaome.svg,867,1,data/escudos-ciudades.ts,used
public/images/escudos/marcovia.svg,868,1,data/escudos-ciudades.ts,used
public/images/escudos/goascoran.svg,869,1,data/escudos-ciudades.ts,used
public/images/escudos/el-triunfo.svg,870,1,data/escudos-ciudades.ts,used
public/images/escudos/san-lorenzo.svg,871,1,data/escudos-ciudades.ts,used
public/images/despacho/diosa-justicia.webp,90476,1,app/(public)/despacho/page.tsx,used
public/images/servicios/servicios-bg.webp,35240,1,app/(public)/servicios-juridicos/page.tsx,used
